rank,timeframe,segment,strategy_name,feature,horizon_bars,entry_quantile,entry_threshold,sample_size,verdict,return_pct,final_equity,round_trips,win_rate,profit_factor,expectancy,max_drawdown_pct,buy_hold_order_sized_return_pct,beats_no_trade,beats_order_sized_buy_hold,notes
42,5m,validation,order_book_threshold_order_book_imbalance_q0p6_h3_v27,order_book_imbalance,3,0.6,0.1375246309450363,33,failed_positive_return_check,-0.0086553112268564327878494600,999.9134468877314356721215054,4,0.0,0E+27,-0.02163827806714108196962365225,0.0086553112268564327878494600,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
43,5m,validation,order_book_threshold_imbalance_top_10_q0p6_h3_v27,imbalance_top_10,3,0.6,0.1375246309450363,33,failed_positive_return_check,-0.0086553112268564327878494600,999.9134468877314356721215054,4,0.0,0E+27,-0.02163827806714108196962365225,0.0086553112268564327878494600,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
44,5m,validation,order_book_threshold_imbalance_top_5_q0p6_h3_v27,imbalance_top_5,3,0.6,0.12160606557266074,33,failed_positive_return_check,-0.0086553112268564327878494600,999.9134468877314356721215054,4,0.0,0E+27,-0.02163827806714108196962365225,0.0086553112268564327878494600,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
45,5m,validation,order_book_threshold_imbalance_top_20_q0p6_h1_v27,imbalance_top_20,1,0.6,0.13553356055798094,33,failed_positive_return_check,-0.0090941336798171042049754900,999.9090586632018289579502451,3,0.0,0E+27,-0.030313778932723680683251615,0.0090941336798171042049754900,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
46,5m,validation,order_book_threshold_order_book_imbalance_q0p6_h1_v27,order_book_imbalance,1,0.6,0.1375246309450363,33,failed_positive_return_check,-0.0093850848344975064343501200,999.9061491516550249356564988,5,0.0,0E+27,-0.0187701696689950128687002522,0.0093850848344975064343501200,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
47,5m,validation,order_book_threshold_imbalance_top_10_q0p6_h1_v27,imbalance_top_10,1,0.6,0.1375246309450363,33,failed_positive_return_check,-0.0093850848344975064343501200,999.9061491516550249356564988,5,0.0,0E+27,-0.0187701696689950128687002522,0.0093850848344975064343501200,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
48,5m,validation,order_book_threshold_imbalance_top_5_q0p6_h1_v27,imbalance_top_5,1,0.6,0.12160606557266074,33,failed_positive_return_check,-0.0093850848344975064343501200,999.9061491516550249356564988,5,0.0,0E+27,-0.0187701696689950128687002522,0.0093850848344975064343501200,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
49,5m,full,order_book_threshold_imbalance_top_20_q0p8_h3_v27,imbalance_top_20,3,0.8,0.2183178155562114,108,failed_positive_return_check,-0.010234764080404590392366700,999.8976523591959540960763330,9,0.2222222222222222,0.4642308831408698956277224541,-0.01137196008933843376929633156,0.01767085364540337741055780007,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
50,5m,full,order_book_threshold_order_book_imbalance_q0p8_h3_v27,order_book_imbalance,3,0.8,0.20469712596021844,108,failed_positive_return_check,-0.0170316732488472602859347600,999.8296832675115273971406524,12,0.16666666666666666,0.3424025512014307879049337299,-0.01419306104070605023827891658,0.02231738111125976596182992812,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
51,5m,full,order_book_threshold_imbalance_top_10_q0p8_h3_v27,imbalance_top_10,3,0.8,0.20469712596021844,108,failed_positive_return_check,-0.0170316732488472602859347600,999.8296832675115273971406524,12,0.16666666666666666,0.3424025512014307879049337299,-0.01419306104070605023827891658,0.02231738111125976596182992812,0.055157632750270183200400400,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
